Title,ID,URL,Published Date,Viewer Count,Chapter Markers,Description,Duration,Playlists
Train Surfing In Bangladesh ( Extremely Dangerous! ),5z9kOZSLFGE,https://www.youtube.com/watch?v=5z9kOZSLFGE,2023-09-10 07:21:26 ,1589630,/,"🇧🇩 You must have seen the photos online of all the people riding on top of trains in the country of Bangladesh. Well on my last day in the country I decided I'd try and do it myself for the quintessential local experience. Everyone told me not to but because it was extremely dangerous, but sometimes you got to take a chance. Join me on my most dangerous journey yet!",PT22M48S,
The World&#39;s Cheapest VIP Cruise! $12!,DLlMw64QocA,https://www.youtube.com/watch?v=DLlMw64QocA,2023-09-08 12:51:13 ,1539855,/,🇧🇩 Bangladesh is a country of mighty rivers and some dodgy river boats. I decided to jump on one and ride down the river in style in my own VIP cabin. Check out what you can get for the princely sum of $12! And on the way I made some friends. Join me on the world's cheapest VIP cruise!,PT24M31S,
Nobody Visits This Country...Find Out Why You Should!,iq_76McFVLo,https://www.youtube.com/watch?v=iq_76McFVLo,2023-09-04 20:02:34 ,2563350,/,"🇧🇩 There are few countries in the world with a bigger image problem than Bangladesh. I mean, just tell me the last time you heard a good news story from the nation? Exactly! Well, I thought I'd go and see if it really was just a place of monsoon floods and outbreaks of disease or, if there were some good reasons to visit the country. And what I found might surprise you so much that you might want to come visit too...Welcome to what is perhaps the world's friendlist nation: Bangladesh!",PT32M58S,
This Is Mongolia! 🇲🇳 ( Asia’s Nation Of Madlads ),7dWfMMQslzU,https://www.youtube.com/watch?v=7dWfMMQslzU,2023-06-02 01:43:21 ,2522247,/,"🇲🇳 There aren't many countries as unknown and as mysterious as the one called Mongolia. All we know is the name Chingis Khan and nothing else pretty much. Well I wanted to fill in the blanks in my mind and travel to the vast remote country slap bang in the middle of Asia to see what it was like. And unlike the few other YouTubers who are had visited Mongolia and just ridden a horse or stayed in a tourist yurt, I was going to go to the mean streets of the cities and to meet the people. And, well, see for yourself what happened...

Cheers to backpacker ben for driving us around the country. Check out his channel @BackpackerBen 

Special thanks to my friend Paul who lives in Mongolia and who took me under his wing when I arrived. Without his help I'd still not have a SIM card or had been able to hire a car. See you in the South of France mate 👍

Also thanks to Olivia 'Dogecoin' who took me to the worst transexual bar in Mongolia.",PT1H6S,
Nobody Visits This Country Anymore ( Find Out Why ) 🇻🇪,4ijIo8X2_h4,https://www.youtube.com/watch?v=4ijIo8X2_h4,2023-04-06 14:22:28 ,2815801,/,"🇻🇪 Venezuela, the name conjures images of a country synonymous with economic collapse and violence. But is that reputation deserved or is there another side to the country that the media don't show? Well, despite being nervous for my safety and that of my camera, I flew into Caracas on my own to investigate. Oh, and whilst there of course I had to visit the infamous Petare barrio, known as Venezuela's most dangerous hood. Would I survive? Join me and find out. Vamos a Caracas chamos!

Shout out to @BackpackerBen for accompanying me all the way from Cusco to Colombia and thanks to my chama Lucy for her help with the translations on the trip 🫡",PT55M23S,
Solo On Bogota&#39;s Dirtiest Street 🇨🇴,9I61plMS2Yg,https://www.youtube.com/watch?v=9I61plMS2Yg,2023-03-03 16:36:31 ,6574118,/,"🇨🇴 Having checked into my hotel in the centre of Bogota I decided to go and take a walk around and see what the city had to offer. What I found was a place littered with rubbish, toxic smells and well, let's just say the world's oldest profession. However despite all that the people were extremely friendly and we met some Venezuelans who told me what to expect on my journey to their country. Join me on a street tour like no other...

This is part four of the Latin America journey from Cusco to Caracas.

Gracias a mi chama Lucy para ayudar con translations.

Instagram: realbaldandbankrupt",PT19M34S,
The Amazon&#39;s Mysterious Chinese Village 🇵🇪,1m3fYellBlw,https://www.youtube.com/watch?v=1m3fYellBlw,2023-03-01 12:30:46 ,2025065,/,"🇵🇪 I was hitching a ride on a transport ship down the Amazon River in Peru when I started noticing people among the passengers who looked distinctly like the descendants of Chinese people. Many boarded and disembarked the ship at the various little jungle towns the ship stopped at until we reached the town of Alto Monte which was like something from a Hong Kong kung Fu movie. But who were these people and why were they dressed in robes and gowns? I disembarked to find out...

Thanks to my amiga and chama Lucy for helping with subtitles on this journey 🇻🇪",PT33M12S,
The Amazon&#39;s Weirdest Village 🇵🇪,41BqmsAUvwA,https://www.youtube.com/watch?v=41BqmsAUvwA,2023-02-22 16:20:02 ,2970906,/,"🇵🇪 Welcome to the Jungle! I sailed down Amazon tributaries from the Peruvian town of Pucallpa in search of adventure on my way to Iquitos, a town hacked out of the rainforest, passing villages where foreigners don't stop. And there in a small village on the banks of the Amazon I met the legendary turtle man. Join me.

Sponsored by Life For Men

Thanks to Lucy and her brother for helping me translate the drunken conversations in Pucallpa",PT42M,
Visiting South America&#39;s Troubled Nation 🇵🇪,qeGAI4Rdptk,https://www.youtube.com/watch?v=qeGAI4Rdptk,2023-02-15 21:46:34 ,2392617,/,"🇵🇪 Peru is currently experiencing a lot of civil unrest due to a political crises. Sixty people have been killed by the police and many hundreds injured. The country has been brought to a standstill by road blocks and protests. And so you’d think I would avoid visiting the country. However no, I wanted to visit and see what was happening on the ground and meet the Peruvian people. And practice my Spanish. Join me…

Thank you to Lucy my teacher and chama for patiently helping me learn Spanish this last year. Without her help this trip would have been completely different and only half and interesting.",PT49M36S,
Tourists Don&#39;t Cross This Border ( Find Out Why )🇱🇦,VIHsOh5wryE,https://www.youtube.com/watch?v=VIHsOh5wryE,2022-12-13 01:29:17 ,2243624,/,"🇱🇦 I've met some interesting characters on my travels but not many like Mr. Suck. But before we get to him and his questionable Google translation skills myself and @BackpackerBen had to cross into a mysterious country called Laos. We entered a world not seen by many and in some ways untouched by modern life. Join us on an adventure where my other mate @TimKyoutube will also be with us on our way south to Saigon.

Please check out both ben's and Tim's channels for another side to the trip.

Channel names:
Tim K
Backpacker Ben",PT41M54S,
