Title,Published Date,Viewer Count,Chapter Markers,Duration,Playlists
Train Surfing In Bangladesh ( Extremely Dangerous! ),2023-09-10T07:21:26Z,1587394,,PT22M48S,
The World&#39;s Cheapest VIP Cruise! $12!,2023-09-08T12:51:13Z,1538145,,PT24M31S,
The World&#39;s Cheapest VIP Cruise! $12!,2023-09-08T12:51:13Z,1538152,,PT24M31S,
Nobody Visits This Country...Find Out Why You Should!,2023-09-04T20:02:34Z,2561580,,PT32M58S,
Nobody Visits This Country...Find Out Why You Should!,2023-09-04T20:02:34Z,2561580,,PT32M58S,
This Is Mongolia! 🇲🇳 ( Asia’s Nation Of Madlads ),2023-06-02T01:43:21Z,2521491,,PT1H6S,
Nobody Visits This Country Anymore ( Find Out Why ) 🇻🇪,2023-04-06T14:22:28Z,2815176,,PT55M23S,
Solo On Bogota&#39;s Dirtiest Street 🇨🇴,2023-03-03T16:36:31Z,6573277,,PT19M34S,
The Amazon&#39;s Mysterious Chinese Village 🇵🇪,2023-03-01T12:30:46Z,2024901,,PT33M12S,
The Amazon&#39;s Weirdest Village 🇵🇪,2023-02-22T16:20:02Z,2970608,,PT42M,
The Amazon&#39;s Weirdest Village 🇵🇪,2023-02-22T16:20:02Z,2970608,,PT42M,
Visiting South America&#39;s Troubled Nation 🇵🇪,2023-02-15T21:46:34Z,2392307,,PT49M36S,
Tourists Don&#39;t Cross This Border ( Find Out Why )🇱🇦,2022-12-13T01:29:17Z,2243319,,PT41M54S,
Vietnam: The Nation That Would Not Submit 🇻🇳,2022-12-10T08:25:11Z,1891593,,PT28M33S,
Visiting The World&#39;s Most Dangerous Country 🇦🇫,2022-10-08T08:53:23Z,5954187,,PT1H12M29S,
The Journey Is Over 🇷🇺,2022-09-01T12:06:02Z,4255021,,PT30M59S,🇷🇺 RUSSIA 🇷🇺
The Journey Is Over 🇷🇺,2022-09-01T12:06:02Z,4255021,,PT30M59S,🇷🇺 RUSSIA 🇷🇺
Solo Through Romania&#39;s Dark Past 🇷🇴,2022-08-05T19:44:57Z,3560182,,PT50M46S,
Solo Through Romania&#39;s Dark Past 🇷🇴,2022-08-05T19:44:57Z,3560182,,PT50M46S,
This Video Caused An International Incident! ( Spaceship Discovery ),2022-07-31T07:16:32Z,4932117,,PT40M31S,☭ Soviet Playlist ☭
This Video Caused An International Incident! ( Spaceship Discovery ),2022-07-31T07:16:32Z,4932117,,PT40M31S,☭ Soviet Playlist ☭
This Is Britain! 🇬🇧 ( Nation of Madlads ),2022-06-21T17:44:27Z,4405572,,PT50M10S,
Entering A Mysterious Exclave You&#39;ve Never Heard Of  ( In A Soviet Bi-plane ),2022-05-17T12:00:28Z,3275129,,PT33M28S,☭ Soviet Playlist ☭
The Syria The Media Won&#39;t Show You 🇸🇾,2022-04-24T16:03:59Z,4324213,,PT50M39S,
Leaving Kyiv On A Refugee Train 🇺🇦,2022-02-28T14:18:19Z,7261140,,PT19M46S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Solo Along The Ukrainian-Russian Border ( One Day Before Invasion ),2022-02-27T12:43:40Z,4811929,,PT18M58S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Avoid this Soviet Exclave!,2022-01-15T13:37:59Z,4722269,,PT44M29S,☭ Soviet Playlist ☭
Avoid this Soviet Exclave!,2022-01-15T13:37:59Z,4722269,,PT44M29S,☭ Soviet Playlist ☭
I Got Drunk With Lithuania&#39;s Most Notorious Gangster 🇱🇹,2021-11-23T22:56:55Z,2539019,,PT15M21S,☭ Soviet Playlist ☭
Visaginas: Lithuania&#39;s Nuclear Town  🇱🇹,2021-11-19T14:23:09Z,2231893,,PT22M39S,
Looking For A Drink In Deepest Siberia 🇷🇺,2021-10-22T09:33:26Z,4982144,,PT29M15S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Looking For Love In A Ukrainian Village ( Isn&#39;t Easy ) 🇺🇦,2021-08-29T10:59:46Z,1686249,,PT13M53S,🇺🇦 Ukraine 🇺🇦
Looking For Love In A Ukrainian Village ( Isn&#39;t Easy ) 🇺🇦,2021-08-29T10:59:46Z,1686249,,PT13M53S,🇺🇦 Ukraine 🇺🇦
Dodgy Burgers And Gopnik Dogs In Ukraine 🇺🇦,2021-08-23T09:15:40Z,1739353,,PT23M43S,🇺🇦 Ukraine 🇺🇦
Dodgy Burgers And Gopnik Dogs In Ukraine 🇺🇦,2021-08-23T09:15:40Z,1739353,,PT23M43S,🇺🇦 Ukraine 🇺🇦
Ukraine&#39;s Frustratingly Long City: Kryvyi Rih 🇺🇦,2021-08-10T16:32:45Z,2139369,,PT28M28S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Ukraine&#39;s Frustratingly Long City: Kryvyi Rih 🇺🇦,2021-08-10T16:32:45Z,2139369,,PT28M28S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
KhTZ: Ukraine&#39;s Most Dangerous Hood 🇺🇦,2021-08-05T21:24:13Z,6971318,,PT21M38S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
The Ukraine You&#39;ve Never Seen before 🇺🇦,2021-03-01T16:32:14Z,2654176,,PT33M12S,🇺🇦 Ukraine 🇺🇦
The Road To Karabakh 🇦🇲,2021-01-07T11:42:33Z,2494576,,PT24M24S,"🇦🇲ARMENIA🇦🇲, ☭ Soviet Playlist ☭"
Mexico&#39;s Worst Breakfast 🇲🇽,2020-12-30T06:57:30Z,1899417,,PT9M39S,🇲🇽 Viva Mexico! 🇲🇽
Hunting The Caspian Sea Monster 🇷🇺,2020-11-28T22:36:40Z,3435932,,PT43M10S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Would You Drive This Mountain Road? 🇰🇬,2020-11-04T11:15:49Z,1507171,,PT13M32S,
Solo In A Closed Soviet City ⛔️,2020-11-03T10:15:56Z,1965098,,PT19M8S,
I Slept In Kyrgyzstan&#39;s Worst Hotel 🇰🇬,2020-11-01T19:57:03Z,3346054,,PT26M,☭ Soviet Playlist ☭
Hitching Through Sinaloa | Mexico&#39;s Narco State 🇲🇽,2020-10-03T15:26:35Z,5040949,,PT22M41S,🇲🇽 Viva Mexico! 🇲🇽
Trying Mexico&#39;s Village Blood Drink 🇲🇽,2020-10-02T09:11:49Z,1273346,,PT14M57S,🇲🇽 Viva Mexico! 🇲🇽
Lost In Mexico City 🇲🇽,2020-10-01T19:14:23Z,1094430,,PT16M29S,🇲🇽 Viva Mexico! 🇲🇽
Solo In Mexico&#39;s Most Dangerous Barrio 🇲🇽,2020-09-23T22:43:06Z,3384629,,PT10M1S,🇲🇽 Viva Mexico! 🇲🇽
Solo In Mexico&#39;s Most Dangerous Barrio 🇲🇽,2020-09-23T22:43:06Z,3384636,,PT10M1S,🇲🇽 Viva Mexico! 🇲🇽
Midnight Tacos In Mexico City 🇲🇽,2020-09-23T06:48:11Z,1614216,,PT12M8S,🇲🇽 Viva Mexico! 🇲🇽
Czech This Out!🇨🇿,2020-09-10T18:45:20Z,1743923,,PT22M46S,
Eating Cow Brain With Albanians 🇦🇱,2020-09-07T18:03:43Z,1374493,,PT16M48S,🇦🇱ALBANIA🇦🇱
Eating Cow Brain With Albanians 🇦🇱,2020-09-07T18:03:43Z,1374493,,PT16M48S,🇦🇱ALBANIA🇦🇱
This Country Was Ready For War! 🇦🇱,2020-09-02T14:15:19Z,4438604,,PT33M5S,🇦🇱ALBANIA🇦🇱
Forced To Drink From Shoe By Prague Bully 🇨🇿,2020-08-27T14:46:53Z,1494464,,PT23M56S,
Solo Through The Chernobyl Swamp,2020-05-21T18:14:45Z,2702885,,PT19M5S,☭ Soviet Playlist ☭
The Village That Disappeared 🇧🇾,2020-05-20T12:30:12Z,1484831,,PT10M7S,
Lost In No-Lockdown Minsk 🇧🇾,2020-05-16T13:53:06Z,1696180,,PT12M2S,
I Tried Every Beer In Belarus...It Took Three Days,2020-05-14T09:28:54Z,2760179,,PT26M28S,
The Country Where They Didn&#39;t Lockdown!,2020-05-09T18:03:05Z,2589235,,PT11M6S,
Would You Try This Armenian Food?! 🇦🇲,2020-03-14T20:53:36Z,2248248,,PT12M43S,🇦🇲ARMENIA🇦🇲
Look What I Found In Armenia! 🇦🇲,2020-03-11T13:44:34Z,1837533,,PT16M6S,🇦🇲ARMENIA🇦🇲
Would You Ride The COVID Express?,2020-03-09T20:44:38Z,2472788,,PT13M39S,🇬🇪 Georgia 🇬🇪
Smuggling A Street-Cat out of Cuba 🇨🇺,2020-03-04T17:57:17Z,2359329,,PT13M24S,🇨🇺CUBA🇨🇺
Smuggling A Street-Cat out of Cuba 🇨🇺,2020-03-04T17:57:17Z,2359329,,PT13M24S,🇨🇺CUBA🇨🇺
